lat,lon,tags,geometry
52.4885223,13.277003,St. Michaels Biergarten,POINT (13.277003 52.4885223)
52.4389002,13.3004552,No listed name,POINT (13.3004552 52.4389002)
52.7746667,13.3348184,No listed name,POINT (13.3348184 52.7746667)
52.5093833,13.4301157,Yaam,POINT (13.4301157 52.5093833)
52.4778088,13.448756,Hertzberg Golf,POINT (13.448756 52.4778088)
52.511168,13.3357809,Schleusenkrug,POINT (13.3357809 52.511168)
52.5278498,13.4343697,Schönbrunn,POINT (13.4343697 52.5278498)
52.3728059,13.3946901,Waldstübchen,POINT (13.3946901 52.3728059)
52.816847,13.3316433,Zum Flößer,POINT (13.3316433 52.816847)
52.5074527,13.4697244,No listed name,POINT (13.4697244 52.5074527)
52.5702224,13.4098376,No listed name,POINT (13.4098376 52.5702224)
52.8234257,12.0734945,No listed name,POINT (12.0734945 52.8234257)
52.5059319,13.4423637,Lorettas Biergarten,POINT (13.4423637 52.5059319)
52.4230314,13.8228927,Heydewirt,POINT (13.8228927 52.4230314)
52.3246839,13.6402038,Haus Seeblick,POINT (13.6402038 52.3246839)
52.3597842,12.9414989,Speisewirtschaft Biergarten,POINT (12.9414989 52.3597842)
52.6386606,13.4902868,No listed name,POINT (13.4902868 52.6386606)
52.3800029,12.9296154,Bismarckhöhe,POINT (12.9296154 52.3800029)
